gene_id	colors
Amillepora16797-RA	turquoise
Amillepora16815-RA	turquoise
Amillepora16810-RA	turquoise
Amillepora16816-RA	turquoise
Amillepora16821-RA	turquoise
Amillepora16843-RA	blue
Amillepora16872-RA	turquoise
Amillepora16904-RA	turquoise
Amillepora16907-RA	blue
Amillepora16930-RA	turquoise
Amillepora17004-RA	turquoise
Amillepora17064-RA	turquoise
Amillepora17141-RA	turquoise
Amillepora17156-RA	grey
Amillepora17161-RA	brown
Amillepora17162-RA	brown
Amillepora17193-RA	brown
Amillepora17200-RA	brown
Amillepora17233-RA	brown
Amillepora17253-RA	brown
Amillepora17320-RA	brown
Amillepora17340-RA	brown
Amillepora17342-RA	brown
Amillepora17397-RA	blue
Amillepora17405-RA	blue
Amillepora17463-RA	brown
Amillepora17472-RA	brown
Amillepora17606-RA	brown
Amillepora17725-RA	brown
Amillepora17795-RA	blue
Amillepora17799-RA	blue
Amillepora17811-RA	turquoise
Amillepora17849-RA	blue
Amillepora17870-RA	grey
Amillepora17883-RA	grey
Amillepora17896-RA	turquoise
Amillepora17929-RA	blue
Amillepora17940-RA	blue
Amillepora17938-RA	blue
Amillepora17941-RA	blue
Amillepora17951-RA	blue
Amillepora17953-RA	turquoise
Amillepora17990-RA	turquoise
Amillepora18038-RA	brown
Amillepora18090-RA	brown
Amillepora18092-RA	blue
Amillepora18098-RA	brown
Amillepora18137-RA	grey
Amillepora18136-RA	grey
Amillepora18143-RA	turquoise
Amillepora18145-RA	grey
Amillepora18158-RA	turquoise
Amillepora18184-RA	turquoise
Amillepora18267-RA	turquoise
Amillepora18265-RA	turquoise
Amillepora18285-RA	brown
Amillepora18313-RA	brown
Amillepora18329-RA	blue
Amillepora18326-RA	blue
Amillepora18408-RA	turquoise
Amillepora18453-RA	turquoise
Amillepora18460-RA	brown
Amillepora18465-RA	grey
Amillepora18508-RA	turquoise
Amillepora18545-RA	grey
Amillepora18627-RA	brown
Amillepora18636-RA	blue
Amillepora18657-RA	brown
Amillepora26316-RA	brown
Amillepora26329-RA	turquoise
Amillepora26327-RA	brown
Amillepora26421-RA	blue
Amillepora26450-RA	brown
Amillepora26436-RA	brown
Amillepora26479-RA	brown
Amillepora26515-RA	turquoise
Amillepora26537-RA	turquoise
Amillepora26562-RA	blue
Amillepora26570-RA	blue
Amillepora26625-RA	turquoise
Amillepora26644-RA	grey
Amillepora26660-RA	brown
Amillepora26747-RA	blue
Amillepora26857-RA	turquoise
Amillepora26859-RA	blue
Amillepora26874-RA	grey
Amillepora26897-RA	blue
Amillepora26915-RA	turquoise
Amillepora26941-RA	brown
Amillepora26930-RA	grey
Amillepora26951-RA	turquoise
Amillepora26967-RA	blue
Amillepora26981-RA	turquoise
Amillepora27077-RA	turquoise
Amillepora27148-RA	brown
Amillepora27155-RA	grey
Amillepora27150-RA	blue
