ID,Y,X
1,7.29199,134.50989
2,7.29173,134.51009
3,7.29218,134.51018
5,7.29102,134.5106
6,7.29214,134.51053
7,7.29197,134.51178
8,7.29192,134.51213
9,7.29205,134.51247
10,7.29197,134.5125
11,7.2896,134.50314
12,7.28932,134.50322
13,7.289,134.50291
15,7.2902,134.50374
18,7.29006,134.50404
20,7.29023,134.50365
34,7.29187,134.50961
38,7.29079,134.50371
40,7.29181,134.50969
44,7.29297,134.51004
46,7.29109,134.5022
47,7.29185,134.50941
48,7.29037,134.50354
50,7.29061,134.50363
52,7.29041,134.50359
56,7.29101,134.50371
60,7.29066,134.50348
65,7.29171,134.50964
76,7.29193,134.50966
77,7.2922,134.50955
82,7.29141,134.50227
94,7.29128,134.50217
99,7.29112,134.5024
100,7.29203,134.51013
105,7.29169,134.50934
108,7.29192,134.50969
112,7.29215,134.50955
122,7.29037,134.50354
162,7.29055,134.50349
lefttop,7.3,134.5
righttop,7.3,134.515
leftbottom,7.285,134.5
rightbottom,7.285,134.515
